ID,Husband_Education,Husband_Race,Couple_Race,Duration,Divorce
9,12-15 years,Other Ethnic Groups,Same-Race,10.546,0
11,Less than 12 years,Other Ethnic Groups,Same-Race,34.943,0
13,Less than 12 years,Other Ethnic Groups,Same-Race,2.834,1
15,Less than 12 years,Other Ethnic Groups,Same-Race,17.532,1
33,12-15 years,Other Ethnic Groups,Same-Race,1.418,0
36,Less than 12 years,Other Ethnic Groups,Same-Race,48.033,0
43,16+ years,Other Ethnic Groups,Same-Race,16.706,0
47,Less than 12 years,Other Ethnic Groups,Same-Race,24.999,0
50,Less than 12 years,Other Ethnic Groups,Same-Race,24.999,0
56,Less than 12 years,Black,Same-Race,3.869,0
63,12-15 years,Black,Same-Race,7.732,0
66,12-15 years,Other Ethnic Groups,Same-Race,5.2105,1
70,12-15 years,Other Ethnic Groups,Same-Race,15.444,0
77,16+ years,Other Ethnic Groups,Same-Race,4.085,0
80,Less than 12 years,Other Ethnic Groups,Same-Race,17.333,0
84,12-15 years,Other Ethnic Groups,Same-Race,16.331,0
87,12-15 years,Other Ethnic Groups,Same-Race,35.335,0
90,Less than 12 years,Other Ethnic Groups,Same-Race,37.67,0
91,12-15 years,Other Ethnic Groups,Same-Race,19.1865,1
94,12-15 years,Other Ethnic Groups,Same-Race,22.697,0
109,Less than 12 years,Other Ethnic Groups,Same-Race,50.776,0
111,Less than 12 years,Other Ethnic Groups,Same-Race,37.495,0
114,Less than 12 years,Other Ethnic Groups,Same-Race,30.738,0
116,Less than 12 years,Other Ethnic Groups,Same-Race,48.654,0
118,Less than 12 years,Other Ethnic Groups,Same-Race,33.024,0
120,Less than 12 years,Other Ethnic Groups,Same-Race,36.668,0
122,16+ years,Other Ethnic Groups,Same-Race,27.992,0
124,16+ years,Other Ethnic Groups,Same-Race,27.789,0
128,12-15 years,Other Ethnic Groups,Same-Race,3.2525,1
129,12-15 years,Other Ethnic Groups,Same-Race,5.67,1
137,Less than 12 years,Other Ethnic Groups,Same-Race,17.999,0
139,Less than 12 years,Other Ethnic Groups,Same-Race,7.5975,1
141,Less than 12 years,Other Ethnic Groups,Same-Race,1.791,0
145,Less than 12 years,Other Ethnic Groups,Same-Race,2.475,0
148,12-15 years,Other Ethnic Groups,Same-Race,35.959,0
153,12-15 years,Other Ethnic Groups,Same-Race,13.136,0
160,12-15 years,Other Ethnic Groups,Same-Race,5.717,0
162,12-15 years,Other Ethnic Groups,Same-Race,5.717,0
164,12-15 years,Other Ethnic Groups,Same-Race,26.278,0
165,12-15 years,Other Ethnic Groups,Same-Race,4.331,1
166,Less than 12 years,Other Ethnic Groups,Same-Race,8.893,0
170,12-15 years,Other Ethnic Groups,Same-Race,15.743,0
183,Less than 12 years,Other Ethnic Groups,Same-Race,4.671,1
194,Less than 12 years,Other Ethnic Groups,Same-Race,48.356,0
196,Less than 12 years,Other Ethnic Groups,Same-Race,39.332,0
199,Less than 12 years,Other Ethnic Groups,Same-Race,39.332,0
212,12-15 years,Other Ethnic Groups,Same-Race,61.525,0
214,12-15 years,Other Ethnic Groups,Same-Race,12.999,0
219,12-15 years,Other Ethnic Groups,Same-Race,14.817,0
221,Less than 12 years,Other Ethnic Groups,Same-Race,33.755,1
223,Less than 12 years,Other Ethnic Groups,Same-Race,56.999,0
226,12-15 years,Other Ethnic Groups,Same-Race,3.606,0
228,Less than 12 years,Other Ethnic Groups,Same-Race,3.606,0
230,Less than 12 years,Black,Same-Race,16.999,0
232,Less than 12 years,Black,Same-Race,42.015,1
234,12-15 years,Other Ethnic Groups,Same-Race,37.837,0
237,12-15 years,Black,Same-Race,18.16,0
245,12-15 years,Other Ethnic Groups,Same-Race,18.018,0
254,12-15 years,Other Ethnic Groups,Same-Race,13.667,1
258,12-15 years,Other Ethnic Groups,Same-Race,3.584,1
264,Less than 12 years,Other Ethnic Groups,Same-Race,2.502,1
268,16+ years,Other Ethnic Groups,Same-Race,14.7135,1
271,Less than 12 years,Other Ethnic Groups,Same-Race,35.932,0
275,16+ years,Other Ethnic Groups,Same-Race,13.864,0
280,12-15 years,Other Ethnic Groups,Same-Race,25.8015,1
287,Less than 12 years,Other Ethnic Groups,Same-Race,14.3495,1
289,Less than 12 years,Other Ethnic Groups,Same-Race,57.506,0
293,12-15 years,Other Ethnic Groups,Same-Race,7.915,1
295,Less than 12 years,Other Ethnic Groups,Same-Race,7.162,0
298,16+ years,Other Ethnic Groups,Same-Race,41.971,0
300,16+ years,Other Ethnic Groups,Same-Race,12.991,0
302,12-15 years,Other Ethnic Groups,Same-Race,18.3355,1
305,12-15 years,Other Ethnic Groups,Same-Race,18.809,0
310,Less than 12 years,Other Ethnic Groups,Same-Race,1.864,0
312,12-15 years,Other Ethnic Groups,Same-Race,53.084,0
315,12-15 years,Other Ethnic Groups,Same-Race,17.2895,1
320,12-15 years,Other Ethnic Groups,Same-Race,32.167,1
325,12-15 years,Other Ethnic Groups,Same-Race,18.338,0
329,12-15 years,Other Ethnic Groups,Same-Race,23.469,0
331,16+ years,Other Ethnic Groups,Same-Race,34.762,0
333,12-15 years,Other Ethnic Groups,Same-Race,4.4325,1
336,12-15 years,Other Ethnic Groups,Same-Race,19.081,0
339,Less than 12 years,Other Ethnic Groups,Same-Race,35.8465,1
341,12-15 years,Other Ethnic Groups,Same-Race,7.247,1
342,12-15 years,Other Ethnic Groups,Same-Race,28.151,0
344,12-15 years,Other Ethnic Groups,Same-Race,15.9975,1
346,Less than 12 years,Other Ethnic Groups,Same-Race,2.2125,1
350,16+ years,Other Ethnic Groups,Same-Race,8.789,0
351,16+ years,Other Ethnic Groups,Same-Race,8.789,0
353,16+ years,Other Ethnic Groups,Same-Race,17.999,0
357,16+ years,Other Ethnic Groups,Same-Race,14.084,0
362,Less than 12 years,Other Ethnic Groups,Same-Race,27.009,0
364,Less than 12 years,Black,Same-Race,42.313,0
370,Less than 12 years,Other Ethnic Groups,Same-Race,9.002,0
372,Less than 12 years,Other Ethnic Groups,Same-Race,35.001,0
375,Less than 12 years,Other Ethnic Groups,Same-Race,35.001,0
377,Less than 12 years,Other Ethnic Groups,Same-Race,5.0025,1
385,12-15 years,Other Ethnic Groups,Same-Race,37.248,0
390,Less than 12 years,Other Ethnic Groups,Same-Race,34.653,0
392,12-15 years,Other Ethnic Groups,Same-Race,16.605,0
394,Less than 12 years,Other Ethnic Groups,Same-Race,44.841,0
398,12-15 years,Other Ethnic Groups,Same-Race,11.671,0
399,12-15 years,Other Ethnic Groups,Same-Race,20.504,0
405,16+ years,Other Ethnic Groups,Same-Race,6.913,0
408,Less than 12 years,Other Ethnic Groups,Same-Race,22.404,0
410,Less than 12 years,Other Ethnic Groups,Same-Race,31.485,0
418,Less than 12 years,Other Ethnic Groups,Same-Race,3.4965,1
425,Less than 12 years,Other Ethnic Groups,Same-Race,24,0
427,Less than 12 years,Other Ethnic Groups,Same-Race,33.851,0
428,12-15 years,Other Ethnic Groups,Same-Race,14.576,0
431,Less than 12 years,Other Ethnic Groups,Same-Race,2.0015,1
434,12-15 years,Other Ethnic Groups,Same-Race,52.663,0
437,Less than 12 years,Other Ethnic Groups,Same-Race,2.6095,1
439,16+ years,Other Ethnic Groups,Same-Race,22.719,0
445,12-15 years,Other Ethnic Groups,Same-Race,4.5805,1
447,Less than 12 years,Other Ethnic Groups,Same-Race,43.751,0
449,Less than 12 years,Other Ethnic Groups,Same-Race,42.062,0
451,16+ years,Other Ethnic Groups,Same-Race,29.07,0
454,16+ years,Other Ethnic Groups,Same-Race,29.07,0
457,12-15 years,Other Ethnic Groups,Same-Race,56.052,0
462,12-15 years,Other Ethnic Groups,Same-Race,17.081,1
468,12-15 years,Other Ethnic Groups,Same-Race,27.168,0
470,Less than 12 years,Other Ethnic Groups,Same-Race,6.001,0
475,12-15 years,Other Ethnic Groups,Same-Race,5.919,1
477,12-15 years,Other Ethnic Groups,Same-Race,20,0
479,16+ years,Other Ethnic Groups,Same-Race,10.456,1
485,Less than 12 years,Other Ethnic Groups,Same-Race,26.971,0
493,Less than 12 years,Other Ethnic Groups,Same-Race,53.84,0
496,12-15 years,Black,Same-Race,11.581,1
502,16+ years,Black,Same-Race,22.976,0
504,Less than 12 years,Other Ethnic Groups,Same-Race,32.999,0
508,12-15 years,Other Ethnic Groups,Same-Race,8.3615,1
510,12-15 years,Other Ethnic Groups,Same-Race,17.084,1
512,12-15 years,Other Ethnic Groups,Same-Race,8.003,0
